"batch_id","packet_path","queue_status","batch_type","speaker","scratch_voice","scratch_voice_id","line_count","word_count","source_line_count","context_line_count","audio_path_count"
"vo_batch_act_i_0022","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0022.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","9","3","5","3"
"vo_batch_act_i_0023","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0023.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","9","2","5","2"
"vo_batch_act_i_0024","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0024.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","15","3","5","3"
"vo_batch_act_i_0025","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0025.md","scratch_ready","scene_speaker_run","TOMAS","Roger","CwhRBWXzGAHq8TQ4Fs17","2","12","2","5","2"
"vo_batch_act_i_0027","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0027.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","11","3","4","3"
"vo_batch_act_i_0029","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0029.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","10","51","10","23","10"
"vo_batch_act_i_0031","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0031.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","25","5","9","5"
"vo_batch_act_i_0033","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0033.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","29","5","8","5"
"vo_batch_act_i_0035","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0035.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","21","6","6","6"
"vo_batch_act_i_0036","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0036.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","12","94","12","18","12"
"vo_batch_act_i_0037","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0037.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","36","6","18","6"
"vo_batch_act_i_0038","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0038.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","8","73","8","11","8"
"vo_batch_act_i_0039","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0039.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","22","3","11","3"
"vo_batch_act_i_0040","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0040.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","1","9","1","2","1"
"vo_batch_act_i_0041","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0041.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","9","1","2","1"
"vo_batch_act_i_0042","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0042.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","20","4","7","4"
"vo_batch_act_i_0043","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0043.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","3","18","3","7","3"
"vo_batch_act_i_0044","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0044.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","29","4","8","4"
"vo_batch_act_i_0045","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0045.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","3","16","3","8","3"
"vo_batch_act_i_0046","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0046.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","11","3","6","3"
"vo_batch_act_i_0047","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0047.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","3","21","3","6","3"
"vo_batch_act_i_0048","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0048.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","12","2","3","2"
"vo_batch_act_i_0049","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0049.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","1","8","1","3","1"
"vo_batch_act_i_0050","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0050.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","23","4","9","4"
"vo_batch_act_i_0051","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0051.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","3","27","3","9","3"
"vo_batch_act_i_0052","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0052.md","scratch_ready","scene_speaker_run","REGISTRAR","Alice","Xb7hH8MSUJpSbSDYk0k2","2","22","2","3","2"
"vo_batch_act_i_0053","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0053.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","4","1","3","1"
"vo_batch_act_i_0056","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0056.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","6","1","7","1"
"vo_batch_act_i_0057","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0057.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","3","3","5","3"
"vo_batch_act_i_0060","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0060.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","44","8","8","8"
"vo_batch_act_i_0061","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0061.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","7","47","7","7","7"
"vo_batch_act_i_0062","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0062.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","62","8","8","8"
"vo_batch_act_i_0063","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0063.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","33","5","5","5"
"vo_batch_act_i_0064","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0064.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","16","3","4","3"
"vo_batch_act_i_0065","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0065.md","scratch_ready","scene_speaker_run","CHANDLER","Will","bIHbv24MWmeRgasZH58o","1","8","1","4","1"
"vo_batch_act_i_0066","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0066.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","23","4","5","4"
"vo_batch_act_i_0067","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0067.md","scratch_ready","scene_speaker_run","CHANDLER","Will","bIHbv24MWmeRgasZH58o","1","11","1","5","1"
"vo_batch_act_i_0068","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0068.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","26","5","9","5"
"vo_batch_act_i_0069","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0069.md","scratch_ready","scene_speaker_run","CHANDLER","Will","bIHbv24MWmeRgasZH58o","4","38","4","9","4"
"vo_batch_act_i_0070","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0070.md","scratch_ready","scene_speaker_run","CHANDLER","Will","bIHbv24MWmeRgasZH58o","12","109","12","18","12"
"vo_batch_act_i_0071","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0071.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","22","6","18","6"
"vo_batch_act_i_0072","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0072.md","scratch_ready","scene_speaker_run","PROSPER","Bill","pqHfZKP75CvOlQylNhV4","7","51","7","12","7"
"vo_batch_act_i_0073","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0073.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","15","5","12","5"
"vo_batch_act_i_0074","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0074.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","9","55","9","22","9"
"vo_batch_act_i_0075","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0075.md","scratch_ready","scene_speaker_run","PROSPER","Bill","pqHfZKP75CvOlQylNhV4","13","85","13","22","13"
"vo_batch_act_i_0076","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0076.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","30","4","5","4"
"vo_batch_act_i_0077","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0077.md","scratch_ready","scene_speaker_run","PROSPER","Bill","pqHfZKP75CvOlQylNhV4","1","11","1","5","1"
"vo_batch_act_i_0078","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0078.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","38","4","5","4"
"vo_batch_act_i_0079","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0079.md","scratch_ready","scene_speaker_run","PROSPER","Bill","pqHfZKP75CvOlQylNhV4","1","2","1","5","1"
"vo_batch_act_i_0080","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0080.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","2","26","2","3","2"
"vo_batch_act_i_0081","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0081.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","11","1","3","1"
"vo_batch_act_i_0082","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0082.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","8","102","8","14","8"
"vo_batch_act_i_0083","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0083.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","25","6","14","6"
"vo_batch_act_i_0084","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0084.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","5","66","5","9","5"
"vo_batch_act_i_0085","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0085.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","16","3","9","3"
"vo_batch_act_i_0086","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0086.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","10","2","4","2"
"vo_batch_act_i_0087","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0087.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","2","15","2","4","2"
"vo_batch_act_i_0088","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0088.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","5","28","5","11","5"
"vo_batch_act_i_0089","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0089.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","9","4","11","4"
"vo_batch_act_i_0090","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0090.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","3","31","3","5","3"
"vo_batch_act_i_0091","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0091.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","19","2","5","2"
"vo_batch_act_i_0094","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0094.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","12","3","13","3"
"vo_batch_act_i_0095","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0095.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","32","6","11","6"
"vo_batch_act_i_0096","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0096.md","scratch_ready","scene_speaker_run","JUNO","Domi","AZnzlk1XvdvUeBnXmlld","5","34","5","11","5"
"vo_batch_act_i_0098","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0098.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","8","2","5","2"
"vo_batch_act_i_0099","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0099.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","19","3","5","3"
"vo_batch_act_i_0101","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0101.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","11","2","4","2"
"vo_batch_act_i_0104","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0104.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","24","6","17","6"
"vo_batch_act_i_0105","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0105.md","scratch_ready","scene_speaker_run","TEODOR","Eric","cjVigY5qzO86Huf0OWal","10","65","10","41","10"
"vo_batch_act_i_0106","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0106.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","17","108","17","41","17"
"vo_batch_act_i_0109","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0109.md","scratch_ready","scene_speaker_run","KANE","Thomas","GBv7mTt0atIp3Br8iCZE","6","55","6","41","6"
"vo_batch_act_i_0110","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0110.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","3","21","3","7","3"
"vo_batch_act_i_0111","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0111.md","scratch_ready","scene_speaker_run","TEODOR","Eric","cjVigY5qzO86Huf0OWal","2","11","2","7","2"
"vo_batch_act_i_0112","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0112.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","12","2","4","2"
"vo_batch_act_i_0113","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0113.md","scratch_ready","scene_speaker_run","TEODOR","Eric","cjVigY5qzO86Huf0OWal","1","10","1","4","1"
"vo_batch_act_i_0114","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0114.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","5","32","5","9","5"
"vo_batch_act_i_0115","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0115.md","scratch_ready","scene_speaker_run","TEODOR","Eric","cjVigY5qzO86Huf0OWal","4","32","4","9","4"
"vo_batch_act_i_0116","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0116.md","scratch_ready","scene_speaker_run","TEODOR","Eric","cjVigY5qzO86Huf0OWal","2","18","2","3","2"
"vo_batch_act_i_0117","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0117.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","1","6","1","3","1"
"vo_batch_act_i_0118","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0118.md","scratch_ready","scene_speaker_run","SABINE","Charlotte","XB0fDUnXU5powFXDhCwa","18","91","18","40","18"
"vo_batch_act_i_0119","docs/vo/recording_packets/scratch_ready/vo_batch_act_i_0119.md","scratch_ready","scene_speaker_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","19","128","19","40","19"
"vo_batch_litany_0120","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0120.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","32","2","2","2"
"vo_batch_litany_0121","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0121.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","10","125","10","10","10"
"vo_batch_litany_0122","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0122.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","102","8","8","8"
"vo_batch_litany_0123","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0123.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","12","132","12","12","12"
"vo_batch_litany_0124","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0124.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","10","125","10","10","10"
"vo_batch_litany_0125","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0125.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","14","162","14","14","14"
"vo_batch_litany_0126","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0126.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","92","4","4","4"
"vo_batch_litany_0127","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0127.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","93","6","6","6"
"vo_batch_litany_0128","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0128.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","109","8","8","8"
"vo_batch_litany_0129","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0129.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","115","8","8","8"
"vo_batch_litany_0130","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0130.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","8","121","8","8","8"
"vo_batch_litany_0131","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0131.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","10","146","10","10","10"
"vo_batch_litany_0132","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0132.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","2","40","2","2","2"
"vo_batch_litany_0133","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0133.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","114","6","6","6"
"vo_batch_litany_0134","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0134.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","75","6","6","6"
"vo_batch_litany_0135","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0135.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","4","61","4","4","4"
"vo_batch_litany_0136","docs/vo/recording_packets/scratch_ready/vo_batch_litany_0136.md","scratch_ready","litany_category_run","CORVIN","Callum","N2lVS1w4EtoT3dr4eOWO","6","105","6","6","6"
