"batch_id","batch_type","act","speaker","cast_status","location","knot","category","line_count","word_count","recording_status"
"vo_batch_act_i_0066","scene_speaker_run","Act I","CORVIN","scratch_cast","bone_chandler","chandler_chess_set","","4","23","unrecorded"
"vo_batch_act_i_0067","scene_speaker_run","Act I","CHANDLER","scratch_cast","bone_chandler","chandler_chess_set","","1","11","unrecorded"
"vo_batch_act_i_0068","scene_speaker_run","Act I","CORVIN","scratch_cast","bone_chandler","chandler_needs_salt","","5","26","unrecorded"
"vo_batch_act_i_0069","scene_speaker_run","Act I","CHANDLER","scratch_cast","bone_chandler","chandler_needs_salt","","4","38","unrecorded"
"vo_batch_act_i_0070","scene_speaker_run","Act I","CHANDLER","scratch_cast","bone_chandler","chandler_watch_trade","","12","109","unrecorded"
"vo_batch_act_i_0071","scene_speaker_run","Act I","CORVIN","scratch_cast","bone_chandler","chandler_watch_trade","","6","22","unrecorded"
"vo_batch_act_i_0072","scene_speaker_run","Act I","PROSPER","scratch_cast","almshouse","prosper_before_watch","","7","51","unrecorded"
"vo_batch_act_i_0073","scene_speaker_run","Act I","CORVIN","scratch_cast","almshouse","prosper_before_watch","","5","15","unrecorded"
"vo_batch_act_i_0074","scene_speaker_run","Act I","CORVIN","scratch_cast","almshouse","prosper_forgiveness","","9","55","unrecorded"
"vo_batch_act_i_0075","scene_speaker_run","Act I","PROSPER","scratch_cast","almshouse","prosper_forgiveness","","13","85","unrecorded"
"vo_batch_act_i_0076","scene_speaker_run","Act I","CORVIN","scratch_cast","almshouse","almshouse_cots","","4","30","unrecorded"
"vo_batch_act_i_0077","scene_speaker_run","Act I","PROSPER","scratch_cast","almshouse","almshouse_cots","","1","11","unrecorded"
"vo_batch_act_i_0078","scene_speaker_run","Act I","CORVIN","scratch_cast","almshouse","almshouse_window","","4","38","unrecorded"
"vo_batch_act_i_0079","scene_speaker_run","Act I","PROSPER","scratch_cast","almshouse","almshouse_window","","1","2","unrecorded"
"vo_batch_act_i_0080","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","juno_needs_rate_card","","2","26","unrecorded"
"vo_batch_act_i_0081","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","juno_needs_rate_card","","1","11","unrecorded"
"vo_batch_act_i_0082","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","float_juno_table","","8","102","unrecorded"
"vo_batch_act_i_0083","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","float_juno_table","","6","25","unrecorded"
"vo_batch_act_i_0084","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","juno_regulator_trade","","5","66","unrecorded"
"vo_batch_act_i_0085","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","juno_regulator_trade","","3","16","unrecorded"
"vo_batch_act_i_0086","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","juno_pool_before_permission","","2","10","unrecorded"
"vo_batch_act_i_0087","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","juno_pool_before_permission","","2","15","unrecorded"
"vo_batch_act_i_0088","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","juno_hot_pool_soak","","5","28","unrecorded"
"vo_batch_act_i_0089","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","juno_hot_pool_soak","","4","9","unrecorded"
"vo_batch_act_i_0090","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","juno_warmth_expired","","3","31","unrecorded"
"vo_batch_act_i_0091","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","juno_warmth_expired","","2","19","unrecorded"
"vo_batch_act_i_0092","scene_speaker_run","Act I","ADELA","needs_cast_decision","grey_float","float_staff_corner","","6","34","unrecorded"
"vo_batch_act_i_0093","scene_speaker_run","Act I","MARIN","needs_cast_decision","grey_float","float_staff_corner","","4","22","unrecorded"
"vo_batch_act_i_0094","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","float_staff_corner","","3","12","unrecorded"
"vo_batch_act_i_0095","scene_speaker_run","Act I","CORVIN","scratch_cast","grey_float","float_steam_screen","","6","32","unrecorded"
"vo_batch_act_i_0096","scene_speaker_run","Act I","JUNO","scratch_cast","grey_float","float_steam_screen","","5","34","unrecorded"
"vo_batch_act_i_0097","scene_speaker_run","Act I","CLERK","needs_cast_decision","harbormaster_office","heartbeat_check_fail","","3","11","unrecorded"
"vo_batch_act_i_0098","scene_speaker_run","Act I","CORVIN","scratch_cast","harbormaster_office","heartbeat_check_fail","","2","8","unrecorded"
"vo_batch_act_i_0099","scene_speaker_run","Act I","CORVIN","scratch_cast","harbormaster_office","harbormaster_checklist_desk","","3","19","unrecorded"
"vo_batch_act_i_0100","scene_speaker_run","Act I","CLERK","needs_cast_decision","harbormaster_office","harbormaster_checklist_desk","","2","17","unrecorded"
"vo_batch_act_i_0101","scene_speaker_run","Act I","CORVIN","scratch_cast","harbormaster_office","harbormaster_sabine_door","","2","11","unrecorded"
"vo_batch_act_i_0102","scene_speaker_run","Act I","CLERK","needs_cast_decision","harbormaster_office","harbormaster_sabine_door","","1","8","unrecorded"
"vo_batch_act_i_0103","scene_speaker_run","Act I","CLERK","needs_cast_decision","harbormaster_office","heartbeat_check_pass","","8","31","unrecorded"
"vo_batch_act_i_0104","scene_speaker_run","Act I","CORVIN","scratch_cast","harbormaster_office","heartbeat_check_pass","","6","24","unrecorded"
"vo_batch_act_i_0105","scene_speaker_run","Act I","TEODOR","scratch_cast","church_of_the_drowned","teodor_rate_card_booth","","10","65","unrecorded"
"vo_batch_act_i_0106","scene_speaker_run","Act I","CORVIN","scratch_cast","church_of_the_drowned","teodor_rate_card_booth","","17","108","unrecorded"
"vo_batch_act_i_0107","scene_speaker_run","Act I","WOMAN","needs_cast_decision","church_of_the_drowned","teodor_rate_card_booth","","2","11","unrecorded"
"vo_batch_act_i_0108","scene_speaker_run","Act I","BOY","needs_cast_decision","church_of_the_drowned","teodor_rate_card_booth","","4","19","unrecorded"
"vo_batch_act_i_0109","scene_speaker_run","Act I","KANE","scratch_cast","church_of_the_drowned","teodor_rate_card_booth","","6","55","unrecorded"
"vo_batch_act_i_0110","scene_speaker_run","Act I","CORVIN","scratch_cast","church_of_the_drowned","church_poor_box","","3","21","unrecorded"
"vo_batch_act_i_0111","scene_speaker_run","Act I","TEODOR","scratch_cast","church_of_the_drowned","church_poor_box","","2","11","unrecorded"
"vo_batch_act_i_0112","scene_speaker_run","Act I","CORVIN","scratch_cast","church_of_the_drowned","church_stall_sign","","2","12","unrecorded"
"vo_batch_act_i_0113","scene_speaker_run","Act I","TEODOR","scratch_cast","church_of_the_drowned","church_stall_sign","","1","10","unrecorded"
"vo_batch_act_i_0114","scene_speaker_run","Act I","CORVIN","scratch_cast","church_of_the_drowned","church_confession_booth","","5","32","unrecorded"
"vo_batch_act_i_0115","scene_speaker_run","Act I","TEODOR","scratch_cast","church_of_the_drowned","church_confession_booth","","4","32","unrecorded"
"vo_batch_act_i_0116","scene_speaker_run","Act I","TEODOR","scratch_cast","church_of_the_drowned","teodor_needs_chit","","2","18","unrecorded"
"vo_batch_act_i_0117","scene_speaker_run","Act I","CORVIN","scratch_cast","church_of_the_drowned","teodor_needs_chit","","1","6","unrecorded"
"vo_batch_act_i_0118","scene_speaker_run","Act I","SABINE","scratch_cast","sabine_office","sabine_act_i_audience","","18","91","unrecorded"
"vo_batch_act_i_0119","scene_speaker_run","Act I","CORVIN","scratch_cast","sabine_office","sabine_act_i_audience","","19","128","unrecorded"
"vo_batch_litany_0120","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","BETRAYAL","2","32","unrecorded"
"vo_batch_litany_0121","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","COWARDICE","10","125","unrecorded"
"vo_batch_litany_0122","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","CRUELTY","8","102","unrecorded"
"vo_batch_litany_0123","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","GREED","12","132","unrecorded"
"vo_batch_litany_0124","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","LUST","10","125","unrecorded"
"vo_batch_litany_0125","litany_category_run","Act 1","CORVIN","scratch_cast","confessions","","PRIDE","14","162","unrecorded"
"vo_batch_litany_0126","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","BETRAYAL","4","92","unrecorded"
"vo_batch_litany_0127","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","COWARDICE","6","93","unrecorded"
"vo_batch_litany_0128","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","CRUELTY","8","109","unrecorded"
"vo_batch_litany_0129","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","GREED","8","115","unrecorded"
"vo_batch_litany_0130","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","LUST","8","121","unrecorded"
"vo_batch_litany_0131","litany_category_run","Act 2","CORVIN","scratch_cast","confessions","","PRIDE","10","146","unrecorded"
"vo_batch_litany_0132","litany_category_run","Act 3","CORVIN","scratch_cast","confessions","","BETRAYAL","2","40","unrecorded"
"vo_batch_litany_0133","litany_category_run","Act 3","CORVIN","scratch_cast","confessions","","COWARDICE","6","114","unrecorded"
"vo_batch_litany_0134","litany_category_run","Act 3","CORVIN","scratch_cast","confessions","","CRUELTY","6","75","unrecorded"
"vo_batch_litany_0135","litany_category_run","Act 3","CORVIN","scratch_cast","confessions","","GREED","4","61","unrecorded"
"vo_batch_litany_0136","litany_category_run","Act 3","CORVIN","scratch_cast","confessions","","LUST","6","105","unrecorded"
