"room_id","room_code","room_title","type","name","label","x","y","target_room","requires_items","requires_flags","items_add","flags_set","confessions_discover","ink_knot","wet_ink_knot","blocked_ink_knot","alternate_requires_flags","alternate_flags_set","alternate_ink_knot","duel_opponent"
"fish_hall","R08","The Fish Hall","hotspot","VisitorBook","Visitor book","1260","690","","","","","FL_sabine_absent_from_book","cf_pride_twice","fish_hall_visitor_book","","","","","",""
"fish_hall","R08","The Fish Hall","hotspot","Drain","Drain","1500","780","","","","","","","","fish_hall_drain","","","","",""
"grey_float","R10","The Grey Float","exit","ToChurch","Church","180","740","ChurchOfTheDrowned","","","","","","","","","","","",""
"grey_float","R10","The Grey Float","exit","ToHarbormaster","Harbormaster","1700","730","HarbormasterOffice","","","","","","","","","","","",""
"grey_float","R10","The Grey Float","hotspot","JunoTable","Juno's table","450","675","","","","","FL_float_juno_table_seen","","float_juno_table","","","","","",""
"grey_float","R10","The Grey Float","hotspot","SteamScreen","Steam screen","1450","650","","","","","FL_float_steam_seen","","float_steam_screen","","","","","",""
"grey_float","R10","The Grey Float","hotspot","BilgeRegulator","Bilge regulator","900","700","","IT_rate_card","","IT_regulator","FL_juno_met|FL_regulator_acquired","","juno_regulator_trade","","juno_needs_rate_card","","","",""
"grey_float","R10","The Grey Float","hotspot","StaffCorner","Staff corner","620","710","","","","","","cf_lust_float|cf_cow_apologize","float_staff_corner","","","","","",""
"grey_float","R10","The Grey Float","hotspot","HotPool","Hot pool","1220","720","","","FL_juno_met","","FL_float_warmth_active","","juno_hot_pool_soak","","juno_pool_before_permission","","","",""
"harbor_registry","R05","Harbor Registry","exit","ToSaltMarket","Salt Market","180","740","SaltMarket","","","","","","","","","","","",""
"harbor_registry","R05","Harbor Registry","hotspot","Ledgers","Ledgers","420","660","","","","","FL_registry_ledgers_seen","","registry_ledgers","","","","","",""
"harbor_registry","R05","Harbor Registry","hotspot","RollBook","Open roll","640","700","","","","","","","registry_roll_book","","","","","",""
"harbor_registry","R05","Harbor Registry","hotspot","DeskLamp","Desk lamp","890","650","","","","","","","","registry_lamp_smoked","","","","",""
"harbor_registry","R05","Harbor Registry","hotspot","KestrelLedger","Kestrel ledger","1220","610","","","FL_registry_lamp_smoked","IT_ledger_page","FL_manifest_known","cf_bt_manifest","registry_ledger_page","","registry_ledger_blocked","","","",""
"harbor_registry","R05","Harbor Registry","duel","Registrar","Registrar","980","690","","","FL_manifest_known","IT_name_writ","FL_rite_name|FL_registrar_sold_manifest","","","","registry_registrar_needs_manifest","","","","registrar"
"harbormaster_office","R11","Harbormaster's Office","exit","ToGreyFloat","Grey Float","180","740","GreyFloat","","","","","","","","","","","",""
"harbormaster_office","R11","Harbormaster's Office","exit","ToSabine","Sabine","1700","730","SabineOffice","","FL_rite_name|FL_rite_debt|FL_rite_heartbeat","","","","","","","","","",""
"harbormaster_office","R11","Harbormaster's Office","hotspot","ChecklistDesk","Checklist desk","740","690","","","","","FL_harbormaster_checklist_seen","","harbormaster_checklist_desk","","","","","",""
"harbormaster_office","R11","Harbormaster's Office","hotspot","SabineDoor","Sabine's door","1500","665","","","","","FL_harbormaster_sabine_door_seen","","harbormaster_sabine_door","","","","","",""
"harbormaster_office","R11","Harbormaster's Office","hotspot","ChecklistClerk","Checklist clerk","960","700","","IT_regulator","FL_float_warmth_active","","FL_rite_heartbeat","","heartbeat_check_pass","","heartbeat_check_fail","","","",""
"mudflats","R01","Mudflats","hotspot","Silt","silt","500","930","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","OwnHands","Corvin's hands","660","760","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","HarborView","harbor view","1180","620","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","Coat","coat","735","760","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","BollardOfTomas","Bollard-of-Tomas","390","702","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","MissingBoots","missing boots","965","910","","","","","","","","","","","","",""
"mudflats","R01","Mudflats","hotspot","SaltMarketExit","road to the Salt Market","1765","665","","","","","","","","","","","","",""
"old_quay","R02","The Old Quay","exit","ToMudflats","Mudflats","180","760","Mudflats","","","","","","","","","","","",""
"old_quay","R02","The Old Quay","exit","ToSaltMarket","Salt Market","1700","700","SaltMarket","","","","","","","","","","","",""
"old_quay","R02","The Old Quay","hotspot","Tomas","Bollard Tomas","470","720","","","","","FL_tomas_topics_seen","cf_pride_list|cf_cow_leftroom|cf_greed_widows","old_quay_tomas_topics","","","FL_bollard_petra_seen|FL_bollard_ledger_seen|FL_bollard_bride_seen","FL_bollard_row_reported","old_quay_bollards_all_seen",""
"old_quay","R02","The Old Quay","hotspot","BollardPetra","Bollard Petra","690","700","","","","","FL_bollard_petra_seen","","old_quay_bollard_petra","","","","","",""
"old_quay","R02","The Old Quay","hotspot","BollardLedger","Ledger bollard","870","705","","","","","FL_bollard_ledger_seen","","old_quay_bollard_ledger","","","","","",""
"old_quay","R02","The Old Quay","hotspot","BollardBride","Bride bollard","1050","715","","","","","FL_bollard_bride_seen","","old_quay_bollard_bride","","","","","",""
"old_quay","R02","The Old Quay","hotspot","SilentBollards","Silent bollards","910","710","","","","","FL_silent_bollards_seen","","old_quay_silent_bollards","","","","","",""
"old_quay","R02","The Old Quay","hotspot","Flask","Empty flask","1180","760","","","","IT_flask","FL_flask_taken","","old_quay_flask","","","","","",""
"old_quay","R02","The Old Quay","hotspot","RopeCleat","Rope cleat","720","800","","","","IT_knuckle_salt","FL_salt_scraped","","old_quay_rope_cleat","old_quay_rope_cleat","","","","",""
"sabine_office","R12","Sabine's Office","exit","ToHarbormaster","Harbormaster","180","740","HarbormasterOffice","","","","","","","","","","","",""
"sabine_office","R12","Sabine's Office","hotspot","SabineDesk","Sabine's desk","960","690","","","FL_rite_name|FL_rite_debt|FL_rite_heartbeat","","FL_act_i_complete","","sabine_act_i_audience","","","","","",""
"salt_market","R03","Salt Market","exit","ToOldQuay","Old Quay","180","740","OldQuay","","","","","","","","","","","",""
"salt_market","R03","Salt Market","exit","ToRegistry","Registry","520","650","HarborRegistry","","","","","","","","","","","",""
"salt_market","R03","Salt Market","exit","ToChandler","Bone Chandler","820","655","BoneChandler","","","","","","","","","","","",""
"salt_market","R03","Salt Market","exit","ToAlmshouse","Almshouse","1120","655","Almshouse","","","","","","","","","","","",""
"salt_market","R03","Salt Market","exit","ToFishHall","Fish Hall","1390","655","FishHall","","","","","","","","","","","",""
"salt_market","R03","Salt Market","exit","ToChurch","Church","1660","650","ChurchOfTheDrowned","","","","","","","","","","","",""
"salt_market","R03","Salt Market","hotspot","MarketCrowd","Crowd","960","760","","","","BorrowedBoots","FL_market_recognized|FL_market_day_hint","cf_pride_voice","salt_market_public_recognition","","","","","",""
"salt_market","R03","Salt Market","hotspot","BootStall","Boot stall","300","720","","BorrowedBoots","FL_market_recognized","","FL_boot_stall_after_seen","","salt_market_boot_stall_after","","","","","",""
"salt_market","R03","Salt Market","hotspot","Fishmonger","Fishmonger","520","720","","","","","FL_fishmonger_seen","cf_greed_scales|cf_cow_drink","salt_market_fishmonger","","","","","",""
"salt_market","R03","Salt Market","hotspot","ConfessionQueue","Confession queue","1180","720","","","","","","cf_cruel_funeral|cf_pride_voice","salt_market_confession_queue","","","","","",""
"salt_market","R03","Salt Market","hotspot","ChurchSign","Church sign","1380","540","","","","","","","","salt_market_church_sign_wet","","","","",""
"salt_market","R03","Salt Market","hotspot","WhaleOilLamp","Whale-oil lamp","1520","620","","","","","FL_market_lamp_checked","","salt_market_lamp","","","","","",""
