"id","room_code","room_id","room_title","kind","tool","name","status","content_status","expected_file_kind","source_path","source_exists","source_size_bytes","runtime_path","runtime_exists","runtime_size_bytes"
"old_quay_generated_reference_ink_wash_edge_breakup","R02","old_quay","The Old Quay","generated_reference","imagegen","ink-wash edge breakup","source_present_unreviewed","present","png","docs/art/reference/act_i/old_quay/ink_wash_edge_breakup.png","True","3045381","","False","0"
"old_quay_generated_reference_palette_safe_mood_reference","R02","old_quay","The Old Quay","generated_reference","imagegen","palette-safe mood reference","source_present_unreviewed","present","png","docs/art/reference/act_i/old_quay/palette_safe_mood_reference.png","True","3009815","","False","0"
"old_quay_generated_reference_non_clickable_dressing_silhouettes","R02","old_quay","The Old Quay","generated_reference","imagegen","non-clickable dressing silhouettes","source_present_unreviewed","present","png","docs/art/reference/act_i/old_quay/non_clickable_dressing_silhouettes.png","True","2987060","","False","0"
"old_quay_interactive_layer_bollard_tomas","R02","old_quay","The Old Quay","interactive_layer","paintover","Bollard Tomas","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/old_quay/tomas.psd","False","0","game/rooms/old_quay/props/tomas.png","False","0"
"old_quay_interactive_layer_empty_flask","R02","old_quay","The Old Quay","interactive_layer","paintover","Empty flask","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/old_quay/flask.psd","False","0","game/rooms/old_quay/props/flask.png","False","0"
"old_quay_interactive_layer_rope_cleat","R02","old_quay","The Old Quay","interactive_layer","paintover","Rope cleat","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/old_quay/ropecleat.psd","False","0","game/rooms/old_quay/props/ropecleat.png","False","0"
"old_quay_navigation_silhouette_salt_market","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tosaltmarket.psd","False","0","game/rooms/old_quay/background/old_quay_bg.png","True","1908256"
"old_quay_navigation_silhouette_mudflats","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Mudflats","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tomudflats.psd","False","0","game/rooms/old_quay/background/old_quay_bg.png","True","1908256"
"salt_market_meshy_source_model_market_stall_shells","R03","salt_market","Salt Market","meshy_source_model","Meshy","market stall shells","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/salt_market/market_stall_shells.glb","False","0","","False","0"
"salt_market_meshy_source_model_boot_stall","R03","salt_market","Salt Market","meshy_source_model","Meshy","boot stall","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb","False","0","","False","0"
"salt_market_meshy_source_model_hanging_lamps","R03","salt_market","Salt Market","meshy_source_model","Meshy","hanging lamps","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb","False","0","","False","0"
"salt_market_meshy_source_model_crowd_silhouette_blockers","R03","salt_market","Salt Market","meshy_source_model","Meshy","crowd silhouette blockers","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb","False","0","","False","0"
"salt_market_generated_reference_public_crowd_mood","R03","salt_market","Salt Market","generated_reference","imagegen","public crowd mood","source_present_unreviewed","present","png","docs/art/reference/act_i/salt_market/public_crowd_mood.png","True","3187129","","False","0"
"salt_market_generated_reference_salt_signage_grime","R03","salt_market","Salt Market","generated_reference","imagegen","salt signage grime","source_present_unreviewed","present","png","docs/art/reference/act_i/salt_market/salt_signage_grime.png","True","3567571","","False","0"
"salt_market_generated_reference_market_awning_texture","R03","salt_market","Salt Market","generated_reference","imagegen","market awning texture","source_present_unreviewed","present","png","docs/art/reference/act_i/salt_market/market_awning_texture.png","True","3492637","","False","0"
"salt_market_interactive_layer_church_sign","R03","salt_market","Salt Market","interactive_layer","paintover","Church sign","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/salt_market/churchsign.psd","False","0","game/rooms/salt_market/props/churchsign.png","False","0"
"salt_market_interactive_layer_boot_stall","R03","salt_market","Salt Market","interactive_layer","paintover","Boot stall","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/salt_market/bootstall.psd","False","0","game/rooms/salt_market/props/bootstall.png","False","0"
"salt_market_interactive_layer_fishmonger","R03","salt_market","Salt Market","interactive_layer","paintover","Fishmonger","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/salt_market/fishmonger.psd","False","0","game/rooms/salt_market/props/fishmonger.png","False","0"
"salt_market_interactive_layer_confession_queue","R03","salt_market","Salt Market","interactive_layer","paintover","Confession queue","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/salt_market/confessionqueue.psd","False","0","game/rooms/salt_market/props/confessionqueue.png","False","0"
"salt_market_interactive_layer_crowd","R03","salt_market","Salt Market","interactive_layer","paintover","Crowd","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/salt_market/marketcrowd.psd","False","0","game/rooms/salt_market/props/marketcrowd.png","False","0"
"salt_market_navigation_silhouette_registry","R03","salt_market","Salt Market","navigation_silhouette","paintover","Registry","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toregistry.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"salt_market_navigation_silhouette_church","R03","salt_market","Salt Market","navigation_silhouette","paintover","Church","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochurch.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"salt_market_navigation_silhouette_bone_chandler","R03","salt_market","Salt Market","navigation_silhouette","paintover","Bone Chandler","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochandler.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"salt_market_navigation_silhouette_almshouse","R03","salt_market","Salt Market","navigation_silhouette","paintover","Almshouse","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toalmshouse.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"salt_market_navigation_silhouette_fish_hall","R03","salt_market","Salt Market","navigation_silhouette","paintover","Fish Hall","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tofishhall.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"salt_market_navigation_silhouette_old_quay","R03","salt_market","Salt Market","navigation_silhouette","paintover","Old Quay","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tooldquay.psd","False","0","game/rooms/salt_market/background/salt_market_bg.png","True","22039"
"harbor_registry_meshy_source_model_registrar_desk","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","Registrar desk","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbor_registry/registrar_desk.glb","False","0","","False","0"
"harbor_registry_meshy_source_model_ledger_stacks","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","ledger stacks","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbor_registry/ledger_stacks.glb","False","0","","False","0"
"harbor_registry_meshy_source_model_roll_book_lectern","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","roll book lectern","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbor_registry/roll_book_lectern.glb","False","0","","False","0"
"harbor_registry_meshy_source_model_window_frame","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","window frame","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbor_registry/window_frame.glb","False","0","","False","0"
"harbor_registry_generated_reference_grime_texture","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","grime texture","source_present_unreviewed","present","png","docs/art/reference/act_i/harbor_registry/grime_texture.png","True","3177078","","False","0"
"harbor_registry_generated_reference_ink_wash_edge_breakup","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","ink-wash edge breakup","source_present_unreviewed","present","png","docs/art/reference/act_i/harbor_registry/ink_wash_edge_breakup.png","True","3297083","","False","0"
"harbor_registry_generated_reference_palette_safe_mood_reference","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","palette-safe mood reference","source_present_unreviewed","present","png","docs/art/reference/act_i/harbor_registry/palette_safe_mood_reference.png","True","2782483","","False","0"
"harbor_registry_generated_reference_non_clickable_dressing_silhouettes","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","non-clickable dressing silhouettes","source_present_unreviewed","present","png","docs/art/reference/act_i/harbor_registry/non_clickable_dressing_silhouettes.png","True","2758881","","False","0"
"harbor_registry_interactive_layer_kestrel_ledger","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Kestrel ledger","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/harbor_registry/kestrelledger.psd","False","0","game/rooms/harbor_registry/props/kestrelledger.png","False","0"
"harbor_registry_interactive_layer_desk_lamp","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Desk lamp","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/harbor_registry/desklamp.psd","False","0","game/rooms/harbor_registry/props/desklamp.png","False","0"
"harbor_registry_interactive_layer_registrar","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Registrar","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/harbor_registry/registrar.psd","False","0","game/rooms/harbor_registry/props/registrar.png","False","0"
"harbor_registry_navigation_silhouette_salt_market","R05","harbor_registry","Harbor Registry","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/harbor_registry/tosaltmarket.psd","False","0","game/rooms/harbor_registry/background/harbor_registry_bg.png","True","34872"
"bone_chandler_meshy_source_model_bone_shelf_units","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","bone shelf units","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/bone_chandler/bone_shelf_units.glb","False","0","","False","0"
"bone_chandler_meshy_source_model_trade_counter","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","trade counter","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/bone_chandler/trade_counter.glb","False","0","","False","0"
"bone_chandler_meshy_source_model_chess_set_scale_prop","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","chess set scale prop","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/bone_chandler/chess_set_scale_prop.glb","False","0","","False","0"
"bone_chandler_meshy_source_model_prosper_watch_display_block","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","Prosper watch display block","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/bone_chandler/prosper_watch_display_block.glb","False","0","","False","0"
"bone_chandler_generated_reference_grime_texture","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","grime texture","source_present_unreviewed","present","png","docs/art/reference/act_i/bone_chandler/grime_texture.png","True","3367927","","False","0"
"bone_chandler_generated_reference_ink_wash_edge_breakup","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","ink-wash edge breakup","source_present_unreviewed","present","png","docs/art/reference/act_i/bone_chandler/ink_wash_edge_breakup.png","True","3179649","","False","0"
"bone_chandler_generated_reference_palette_safe_mood_reference","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","palette-safe mood reference","source_present_unreviewed","present","png","docs/art/reference/act_i/bone_chandler/palette_safe_mood_reference.png","True","2873661","","False","0"
"bone_chandler_generated_reference_non_clickable_dressing_silhouettes","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","non-clickable dressing silhouettes","source_present_unreviewed","present","png","docs/art/reference/act_i/bone_chandler/non_clickable_dressing_silhouettes.png","True","2886871","","False","0"
"bone_chandler_interactive_layer_prosper_s_watch","R06","bone_chandler","The Bone Chandler","interactive_layer","paintover","Prosper's watch","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/bone_chandler/prosperwatch.psd","False","0","game/rooms/bone_chandler/props/prosperwatch.png","False","0"
"bone_chandler_navigation_silhouette_almshouse","R06","bone_chandler","The Bone Chandler","navigation_silhouette","paintover","Almshouse","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/bone_chandler/toalmshouse.psd","False","0","game/rooms/bone_chandler/background/bone_chandler_bg.png","True","20562"
"bone_chandler_navigation_silhouette_salt_market","R06","bone_chandler","The Bone Chandler","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/bone_chandler/tosaltmarket.psd","False","0","game/rooms/bone_chandler/background/bone_chandler_bg.png","True","20562"
"almshouse_meshy_source_model_cot_rows","R07","almshouse","The Almshouse","meshy_source_model","Meshy","cot rows","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/almshouse/cot_rows.glb","False","0","","False","0"
"almshouse_meshy_source_model_window_frame","R07","almshouse","The Almshouse","meshy_source_model","Meshy","window frame","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/almshouse/window_frame.glb","False","0","","False","0"
"almshouse_meshy_source_model_privacy_screens","R07","almshouse","The Almshouse","meshy_source_model","Meshy","privacy screens","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/almshouse/privacy_screens.glb","False","0","","False","0"
"almshouse_meshy_source_model_prosper_sitting_silhouette_block","R07","almshouse","The Almshouse","meshy_source_model","Meshy","Prosper sitting silhouette block","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/almshouse/prosper_sitting_silhouette_block.glb","False","0","","False","0"
"almshouse_generated_reference_grime_texture","R07","almshouse","The Almshouse","generated_reference","imagegen","grime texture","source_present_unreviewed","present","png","docs/art/reference/act_i/almshouse/grime_texture.png","True","2925669","","False","0"
"almshouse_generated_reference_ink_wash_edge_breakup","R07","almshouse","The Almshouse","generated_reference","imagegen","ink-wash edge breakup","source_present_unreviewed","present","png","docs/art/reference/act_i/almshouse/ink_wash_edge_breakup.png","True","3561413","","False","0"
"almshouse_generated_reference_palette_safe_mood_reference","R07","almshouse","The Almshouse","generated_reference","imagegen","palette-safe mood reference","source_present_unreviewed","present","png","docs/art/reference/act_i/almshouse/palette_safe_mood_reference.png","True","3084477","","False","0"
"almshouse_generated_reference_non_clickable_dressing_silhouettes","R07","almshouse","The Almshouse","generated_reference","imagegen","non-clickable dressing silhouettes","source_present_unreviewed","present","png","docs/art/reference/act_i/almshouse/non_clickable_dressing_silhouettes.png","True","2858096","","False","0"
"almshouse_interactive_layer_half_coin_prosper","R07","almshouse","The Almshouse","interactive_layer","paintover","Half-Coin Prosper","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/almshouse/halfcoinprosper.psd","False","0","game/rooms/almshouse/props/halfcoinprosper.png","False","0"
"almshouse_navigation_silhouette_salt_market","R07","almshouse","The Almshouse","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/almshouse/tosaltmarket.psd","False","0","game/rooms/almshouse/background/almshouse_bg.png","True","21722"
"almshouse_navigation_silhouette_bone_chandler","R07","almshouse","The Almshouse","navigation_silhouette","paintover","Bone Chandler","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/almshouse/tobonechandler.psd","False","0","game/rooms/almshouse/background/almshouse_bg.png","True","21722"
"fish_hall_meshy_source_model_ice_table","R08","fish_hall","The Fish Hall","meshy_source_model","Meshy","ice table","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/fish_hall/ice_table.glb","False","0","","False","0"
"fish_hall_meshy_source_model_drain_grate","R08","fish_hall","The Fish Hall","meshy_source_model","Meshy","drain grate","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/fish_hall/drain_grate.glb","False","0","","False","0"
"fish_hall_meshy_source_model_visitor_book_stand","R08","fish_hall","The Fish Hall","meshy_source_model","Meshy","visitor book stand","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/fish_hall/visitor_book_stand.glb","False","0","","False","0"
"fish_hall_meshy_source_model_tagged_body_table_silhouette","R08","fish_hall","The Fish Hall","meshy_source_model","Meshy","tagged body-table silhouette","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/fish_hall/tagged_body_table_silhouette.glb","False","0","","False","0"
"fish_hall_generated_reference_grime_texture","R08","fish_hall","The Fish Hall","generated_reference","imagegen","grime texture","source_present_unreviewed","present","png","docs/art/reference/act_i/fish_hall/grime_texture.png","True","3177927","","False","0"
"fish_hall_generated_reference_ink_wash_edge_breakup","R08","fish_hall","The Fish Hall","generated_reference","imagegen","ink-wash edge breakup","source_present_unreviewed","present","png","docs/art/reference/act_i/fish_hall/ink_wash_edge_breakup.png","True","3177100","","False","0"
"fish_hall_generated_reference_palette_safe_mood_reference","R08","fish_hall","The Fish Hall","generated_reference","imagegen","palette-safe mood reference","source_present_unreviewed","present","png","docs/art/reference/act_i/fish_hall/palette_safe_mood_reference.png","True","3247008","","False","0"
"fish_hall_generated_reference_non_clickable_dressing_silhouettes","R08","fish_hall","The Fish Hall","generated_reference","imagegen","non-clickable dressing silhouettes","source_present_unreviewed","present","png","docs/art/reference/act_i/fish_hall/non_clickable_dressing_silhouettes.png","True","3019086","","False","0"
"fish_hall_interactive_layer_visitor_book","R08","fish_hall","The Fish Hall","interactive_layer","paintover","Visitor book","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/fish_hall/visitorbook.psd","False","0","game/rooms/fish_hall/props/visitorbook.png","False","0"
"fish_hall_interactive_layer_coroner_tag","R08","fish_hall","The Fish Hall","interactive_layer","paintover","Coroner tag","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/fish_hall/coronertag.psd","False","0","game/rooms/fish_hall/props/coronertag.png","False","0"
"fish_hall_interactive_layer_drain","R08","fish_hall","The Fish Hall","interactive_layer","paintover","Drain","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/fish_hall/drain.psd","False","0","game/rooms/fish_hall/props/drain.png","False","0"
"fish_hall_navigation_silhouette_salt_market","R08","fish_hall","The Fish Hall","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/fish_hall/tosaltmarket.psd","False","0","game/rooms/fish_hall/background/fish_hall_bg.png","True","16674"
"church_of_the_drowned_meshy_source_model_confession_booth","R09","church_of_the_drowned","Church of the Drowned","meshy_source_model","Meshy","confession booth","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/church_of_the_drowned/confession_booth.glb","False","0","","False","0"
"church_of_the_drowned_meshy_source_model_church_ledger_desk","R09","church_of_the_drowned","Church of the Drowned","meshy_source_model","Meshy","Church ledger desk","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/church_of_the_drowned/church_ledger_desk.glb","False","0","","False","0"
"church_of_the_drowned_meshy_source_model_receipt_window","R09","church_of_the_drowned","Church of the Drowned","meshy_source_model","Meshy","receipt window","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/church_of_the_drowned/receipt_window.glb","False","0","","False","0"
"church_of_the_drowned_meshy_source_model_green_lamp_housings","R09","church_of_the_drowned","Church of the Drowned","meshy_source_model","Meshy","green lamp housings","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/church_of_the_drowned/green_lamp_housings.glb","False","0","","False","0"
"church_of_the_drowned_generated_reference_institutional_absinthe_green_light","R09","church_of_the_drowned","Church of the Drowned","generated_reference","imagegen","institutional absinthe-green light","pending_source","missing","png","docs/art/reference/act_i/church_of_the_drowned/institutional_absinthe_green_light.png","False","0","","False","0"
"church_of_the_drowned_generated_reference_paper_bureaucracy_texture","R09","church_of_the_drowned","Church of the Drowned","generated_reference","imagegen","paper bureaucracy texture","pending_source","missing","png","docs/art/reference/act_i/church_of_the_drowned/paper_bureaucracy_texture.png","False","0","","False","0"
"church_of_the_drowned_generated_reference_wet_stone_grime","R09","church_of_the_drowned","Church of the Drowned","generated_reference","imagegen","wet stone grime","pending_source","missing","png","docs/art/reference/act_i/church_of_the_drowned/wet_stone_grime.png","False","0","","False","0"
"church_of_the_drowned_interactive_layer_confession_booth","R09","church_of_the_drowned","Church of the Drowned","interactive_layer","paintover","Confession booth","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/church_of_the_drowned/confessionbooth.psd","False","0","game/rooms/church_of_the_drowned/props/confessionbooth.png","False","0"
"church_of_the_drowned_interactive_layer_teodor_s_stall","R09","church_of_the_drowned","Church of the Drowned","interactive_layer","paintover","Teodor's stall","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/church_of_the_drowned/ratecard.psd","False","0","game/rooms/church_of_the_drowned/props/ratecard.png","False","0"
"church_of_the_drowned_interactive_layer_poor_box","R09","church_of_the_drowned","Church of the Drowned","interactive_layer","paintover","Poor box","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/church_of_the_drowned/poorbox.psd","False","0","game/rooms/church_of_the_drowned/props/poorbox.png","False","0"
"church_of_the_drowned_navigation_silhouette_grey_float","R09","church_of_the_drowned","Church of the Drowned","navigation_silhouette","paintover","Grey Float","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/church_of_the_drowned/togreyfloat.psd","False","0","game/rooms/church_of_the_drowned/background/church_of_the_drowned_bg.png","True","39592"
"church_of_the_drowned_navigation_silhouette_salt_market","R09","church_of_the_drowned","Church of the Drowned","navigation_silhouette","paintover","Salt Market","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/church_of_the_drowned/tosaltmarket.psd","False","0","game/rooms/church_of_the_drowned/background/church_of_the_drowned_bg.png","True","39592"
"grey_float_meshy_source_model_barge_wall_ribs","R10","grey_float","The Grey Float","meshy_source_model","Meshy","barge wall ribs","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/grey_float/barge_wall_ribs.glb","False","0","","False","0"
"grey_float_meshy_source_model_steam_screen_partitions","R10","grey_float","The Grey Float","meshy_source_model","Meshy","steam-screen partitions","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/grey_float/steam_screen_partitions.glb","False","0","","False","0"
"grey_float_meshy_source_model_lamp_clusters","R10","grey_float","The Grey Float","meshy_source_model","Meshy","lamp clusters","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/grey_float/lamp_clusters.glb","False","0","","False","0"
"grey_float_meshy_source_model_bathhouse_railings","R10","grey_float","The Grey Float","meshy_source_model","Meshy","bathhouse railings","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/grey_float/bathhouse_railings.glb","False","0","","False","0"
"grey_float_generated_reference_steam_density","R10","grey_float","The Grey Float","generated_reference","imagegen","steam density","pending_source","missing","png","docs/art/reference/act_i/grey_float/steam_density.png","False","0","","False","0"
"grey_float_generated_reference_warm_silhouette_privacy_shapes","R10","grey_float","The Grey Float","generated_reference","imagegen","warm silhouette privacy shapes","pending_source","missing","png","docs/art/reference/act_i/grey_float/warm_silhouette_privacy_shapes.png","False","0","","False","0"
"grey_float_generated_reference_non_explicit_labor_staging","R10","grey_float","The Grey Float","generated_reference","imagegen","non-explicit labor staging","pending_source","missing","png","docs/art/reference/act_i/grey_float/non_explicit_labor_staging.png","False","0","","False","0"
"grey_float_generated_reference_amber_trap_mood","R10","grey_float","The Grey Float","generated_reference","imagegen","amber trap mood","pending_source","missing","png","docs/art/reference/act_i/grey_float/amber_trap_mood.png","False","0","","False","0"
"grey_float_interactive_layer_bilge_regulator","R10","grey_float","The Grey Float","interactive_layer","paintover","Bilge regulator","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/grey_float/bilgeregulator.psd","False","0","game/rooms/grey_float/props/bilgeregulator.png","False","0"
"grey_float_interactive_layer_staff_corner","R10","grey_float","The Grey Float","interactive_layer","paintover","Staff corner","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/grey_float/staffcorner.psd","False","0","game/rooms/grey_float/props/staffcorner.png","False","0"
"grey_float_interactive_layer_hot_pool","R10","grey_float","The Grey Float","interactive_layer","paintover","Hot pool","pending_source","missing","psd","art/src/backgrounds/act_i/interactive_layers/grey_float/hotpool.psd","False","0","game/rooms/grey_float/props/hotpool.png","False","0"
"grey_float_navigation_silhouette_harbormaster","R10","grey_float","The Grey Float","navigation_silhouette","paintover","Harbormaster","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/grey_float/toharbormaster.psd","False","0","game/rooms/grey_float/background/grey_float_bg.png","True","28534"
"grey_float_navigation_silhouette_church","R10","grey_float","The Grey Float","navigation_silhouette","paintover","Church","pending_source","missing","psd","art/src/backgrounds/act_i/navigation_silhouettes/grey_float/tochurch.psd","False","0","game/rooms/grey_float/background/grey_float_bg.png","True","28534"
"harbormaster_office_meshy_source_model_office_desk","R11","harbormaster_office","Harbormaster's Office","meshy_source_model","Meshy","office desk","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbormaster_office/office_desk.glb","False","0","","False","0"
"harbormaster_office_meshy_source_model_filing_wall","R11","harbormaster_office","Harbormaster's Office","meshy_source_model","Meshy","filing wall","pending_source","missing","glb","art/src/backgrounds/act_i/source_models/harbormaster_office/filing_wall.glb","False","0","","False","0"
