"directory_path","readme_path","room_code","room_id","room_title","dropzone_kind","expected_file_count","expected_extensions","placement_stages","runtime_policies"
"docs/art/reference/act_i/almshouse","docs/art/reference/act_i/almshouse/README.md","R07","almshouse","The Almshouse","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/almshouse","art/src/backgrounds/act_i/interactive_layers/almshouse/README.md","R07","almshouse","The Almshouse","interactive_layer_sources","1","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/almshouse","art/src/backgrounds/act_i/navigation_silhouettes/almshouse/README.md","R07","almshouse","The Almshouse","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/fish_hall","art/src/backgrounds/act_i/source_models/fish_hall/README.md","R08","fish_hall","The Fish Hall","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/fish_hall","docs/art/reference/act_i/fish_hall/README.md","R08","fish_hall","The Fish Hall","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/fish_hall","art/src/backgrounds/act_i/interactive_layers/fish_hall/README.md","R08","fish_hall","The Fish Hall","interactive_layer_sources","3","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/fish_hall","art/src/backgrounds/act_i/navigation_silhouettes/fish_hall/README.md","R08","fish_hall","The Fish Hall","navigation_silhouette_sources","1","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/church_of_the_drowned","art/src/backgrounds/act_i/source_models/church_of_the_drowned/README.md","R09","church_of_the_drowned","Church of the Drowned","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/church_of_the_drowned","docs/art/reference/act_i/church_of_the_drowned/README.md","R09","church_of_the_drowned","Church of the Drowned","generated_reference_boards","3","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/church_of_the_drowned","art/src/backgrounds/act_i/interactive_layers/church_of_the_drowned/README.md","R09","church_of_the_drowned","Church of the Drowned","interactive_layer_sources","3","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/church_of_the_drowned","art/src/backgrounds/act_i/navigation_silhouettes/church_of_the_drowned/README.md","R09","church_of_the_drowned","Church of the Drowned","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/grey_float","art/src/backgrounds/act_i/source_models/grey_float/README.md","R10","grey_float","The Grey Float","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/grey_float","docs/art/reference/act_i/grey_float/README.md","R10","grey_float","The Grey Float","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/grey_float","art/src/backgrounds/act_i/interactive_layers/grey_float/README.md","R10","grey_float","The Grey Float","interactive_layer_sources","3","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/grey_float","art/src/backgrounds/act_i/navigation_silhouettes/grey_float/README.md","R10","grey_float","The Grey Float","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/harbormaster_office","art/src/backgrounds/act_i/source_models/harbormaster_office/README.md","R11","harbormaster_office","Harbormaster's Office","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/harbormaster_office","docs/art/reference/act_i/harbormaster_office/README.md","R11","harbormaster_office","Harbormaster's Office","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/harbormaster_office","art/src/backgrounds/act_i/interactive_layers/harbormaster_office/README.md","R11","harbormaster_office","Harbormaster's Office","interactive_layer_sources","1","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/harbormaster_office","art/src/backgrounds/act_i/navigation_silhouettes/harbormaster_office/README.md","R11","harbormaster_office","Harbormaster's Office","navigation_silhouette_sources","2","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
"art/src/backgrounds/act_i/source_models/sabine_office","art/src/backgrounds/act_i/source_models/sabine_office/README.md","R12","sabine_office","Sabine's Office","meshy_source_models","4","glb","blender_helper_geometry","never_import_directly_to_godot"
"docs/art/reference/act_i/sabine_office","docs/art/reference/act_i/sabine_office/README.md","R12","sabine_office","Sabine's Office","generated_reference_boards","4","png","reference_board","never_import_directly_to_godot"
"art/src/backgrounds/act_i/interactive_layers/sabine_office","art/src/backgrounds/act_i/interactive_layers/sabine_office/README.md","R12","sabine_office","Sabine's Office","interactive_layer_sources","1","psd","paintover_runtime_layer","export_separate_png_and_preserve_godot_hotspot_metadata"
"art/src/backgrounds/act_i/navigation_silhouettes/sabine_office","art/src/backgrounds/act_i/navigation_silhouettes/sabine_office/README.md","R12","sabine_office","Sabine's Office","navigation_silhouette_sources","1","psd","paintover_navigation_readability","preserve_existing_exit_metadata"
