"id","room_code","room_id","room_title","kind","tool","name","source_status","content_status","source_path","runtime_path","placement_stage","placement_target","destination_layer","final_art_role","runtime_policy","review_gate","required_followup"
"old_quay_meshy_source_model_harbor_rail_fragments","R02","old_quay","The Old Quay","meshy_source_model","Meshy","harbor rail fragments","pending_source","missing","art/src/backgrounds/act_i/source_models/old_quay/harbor_rail_fragments.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/old_quay.blend","SourceModels_old_quay","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"old_quay_generated_reference_grime_texture","R02","old_quay","The Old Quay","generated_reference","imagegen","grime texture","pending_source","missing","docs/art/reference/act_i/old_quay/grime_texture.png","","reference_board","docs/art/reference/act_i/old_quay","ReferenceBoard_old_quay","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"old_quay_generated_reference_ink_wash_edge_breakup","R02","old_quay","The Old Quay","generated_reference","imagegen","ink-wash edge breakup","pending_source","missing","docs/art/reference/act_i/old_quay/ink_wash_edge_breakup.png","","reference_board","docs/art/reference/act_i/old_quay","ReferenceBoard_old_quay","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"old_quay_generated_reference_palette_safe_mood_reference","R02","old_quay","The Old Quay","generated_reference","imagegen","palette-safe mood reference","pending_source","missing","docs/art/reference/act_i/old_quay/palette_safe_mood_reference.png","","reference_board","docs/art/reference/act_i/old_quay","ReferenceBoard_old_quay","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"old_quay_generated_reference_non_clickable_dressing_silhouettes","R02","old_quay","The Old Quay","generated_reference","imagegen","non-clickable dressing silhouettes","pending_source","missing","docs/art/reference/act_i/old_quay/non_clickable_dressing_silhouettes.png","","reference_board","docs/art/reference/act_i/old_quay","ReferenceBoard_old_quay","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"old_quay_interactive_layer_bollard_tomas","R02","old_quay","The Old Quay","interactive_layer","paintover","Bollard Tomas","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/tomas.psd","game/rooms/old_quay/props/tomas.png","paintover_runtime_layer","game/rooms/old_quay/props/tomas.png","Interactive_old_quay","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"old_quay_interactive_layer_empty_flask","R02","old_quay","The Old Quay","interactive_layer","paintover","Empty flask","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/flask.psd","game/rooms/old_quay/props/flask.png","paintover_runtime_layer","game/rooms/old_quay/props/flask.png","Interactive_old_quay","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"old_quay_interactive_layer_rope_cleat","R02","old_quay","The Old Quay","interactive_layer","paintover","Rope cleat","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/old_quay/ropecleat.psd","game/rooms/old_quay/props/ropecleat.png","paintover_runtime_layer","game/rooms/old_quay/props/ropecleat.png","Interactive_old_quay","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"old_quay_navigation_silhouette_salt_market","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Salt Market","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tosaltmarket.psd","game/rooms/old_quay/background/old_quay_bg.png","paintover_navigation_readability","game/rooms/old_quay/background/old_quay_bg.png","Navigation_old_quay","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"old_quay_navigation_silhouette_mudflats","R02","old_quay","The Old Quay","navigation_silhouette","paintover","Mudflats","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/old_quay/tomudflats.psd","game/rooms/old_quay/background/old_quay_bg.png","paintover_navigation_readability","game/rooms/old_quay/background/old_quay_bg.png","Navigation_old_quay","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_meshy_source_model_market_stall_shells","R03","salt_market","Salt Market","meshy_source_model","Meshy","market stall shells","pending_source","missing","art/src/backgrounds/act_i/source_models/salt_market/market_stall_shells.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/salt_market.blend","SourceModels_salt_market","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"salt_market_meshy_source_model_boot_stall","R03","salt_market","Salt Market","meshy_source_model","Meshy","boot stall","pending_source","missing","art/src/backgrounds/act_i/source_models/salt_market/boot_stall.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/salt_market.blend","SourceModels_salt_market","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"salt_market_meshy_source_model_hanging_lamps","R03","salt_market","Salt Market","meshy_source_model","Meshy","hanging lamps","pending_source","missing","art/src/backgrounds/act_i/source_models/salt_market/hanging_lamps.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/salt_market.blend","SourceModels_salt_market","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"salt_market_meshy_source_model_crowd_silhouette_blockers","R03","salt_market","Salt Market","meshy_source_model","Meshy","crowd silhouette blockers","pending_source","missing","art/src/backgrounds/act_i/source_models/salt_market/crowd_silhouette_blockers.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/salt_market.blend","SourceModels_salt_market","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"salt_market_generated_reference_public_crowd_mood","R03","salt_market","Salt Market","generated_reference","imagegen","public crowd mood","pending_source","missing","docs/art/reference/act_i/salt_market/public_crowd_mood.png","","reference_board","docs/art/reference/act_i/salt_market","ReferenceBoard_salt_market","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"salt_market_generated_reference_salt_signage_grime","R03","salt_market","Salt Market","generated_reference","imagegen","salt signage grime","pending_source","missing","docs/art/reference/act_i/salt_market/salt_signage_grime.png","","reference_board","docs/art/reference/act_i/salt_market","ReferenceBoard_salt_market","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"salt_market_generated_reference_market_awning_texture","R03","salt_market","Salt Market","generated_reference","imagegen","market awning texture","pending_source","missing","docs/art/reference/act_i/salt_market/market_awning_texture.png","","reference_board","docs/art/reference/act_i/salt_market","ReferenceBoard_salt_market","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"salt_market_interactive_layer_church_sign","R03","salt_market","Salt Market","interactive_layer","paintover","Church sign","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/churchsign.psd","game/rooms/salt_market/props/churchsign.png","paintover_runtime_layer","game/rooms/salt_market/props/churchsign.png","Interactive_salt_market","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"salt_market_interactive_layer_boot_stall","R03","salt_market","Salt Market","interactive_layer","paintover","Boot stall","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/bootstall.psd","game/rooms/salt_market/props/bootstall.png","paintover_runtime_layer","game/rooms/salt_market/props/bootstall.png","Interactive_salt_market","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"salt_market_interactive_layer_fishmonger","R03","salt_market","Salt Market","interactive_layer","paintover","Fishmonger","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/fishmonger.psd","game/rooms/salt_market/props/fishmonger.png","paintover_runtime_layer","game/rooms/salt_market/props/fishmonger.png","Interactive_salt_market","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"salt_market_interactive_layer_confession_queue","R03","salt_market","Salt Market","interactive_layer","paintover","Confession queue","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/confessionqueue.psd","game/rooms/salt_market/props/confessionqueue.png","paintover_runtime_layer","game/rooms/salt_market/props/confessionqueue.png","Interactive_salt_market","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"salt_market_interactive_layer_crowd","R03","salt_market","Salt Market","interactive_layer","paintover","Crowd","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/salt_market/marketcrowd.psd","game/rooms/salt_market/props/marketcrowd.png","paintover_runtime_layer","game/rooms/salt_market/props/marketcrowd.png","Interactive_salt_market","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"salt_market_navigation_silhouette_registry","R03","salt_market","Salt Market","navigation_silhouette","paintover","Registry","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toregistry.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_navigation_silhouette_church","R03","salt_market","Salt Market","navigation_silhouette","paintover","Church","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochurch.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_navigation_silhouette_bone_chandler","R03","salt_market","Salt Market","navigation_silhouette","paintover","Bone Chandler","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tochandler.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_navigation_silhouette_almshouse","R03","salt_market","Salt Market","navigation_silhouette","paintover","Almshouse","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/toalmshouse.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_navigation_silhouette_fish_hall","R03","salt_market","Salt Market","navigation_silhouette","paintover","Fish Hall","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tofishhall.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"salt_market_navigation_silhouette_old_quay","R03","salt_market","Salt Market","navigation_silhouette","paintover","Old Quay","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/salt_market/tooldquay.psd","game/rooms/salt_market/background/salt_market_bg.png","paintover_navigation_readability","game/rooms/salt_market/background/salt_market_bg.png","Navigation_salt_market","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"harbor_registry_meshy_source_model_registrar_desk","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","Registrar desk","pending_source","missing","art/src/backgrounds/act_i/source_models/harbor_registry/registrar_desk.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","SourceModels_harbor_registry","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"harbor_registry_meshy_source_model_ledger_stacks","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","ledger stacks","pending_source","missing","art/src/backgrounds/act_i/source_models/harbor_registry/ledger_stacks.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","SourceModels_harbor_registry","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"harbor_registry_meshy_source_model_roll_book_lectern","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","roll book lectern","pending_source","missing","art/src/backgrounds/act_i/source_models/harbor_registry/roll_book_lectern.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","SourceModels_harbor_registry","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"harbor_registry_meshy_source_model_window_frame","R05","harbor_registry","Harbor Registry","meshy_source_model","Meshy","window frame","pending_source","missing","art/src/backgrounds/act_i/source_models/harbor_registry/window_frame.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/harbor_registry.blend","SourceModels_harbor_registry","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"harbor_registry_generated_reference_grime_texture","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","grime texture","pending_source","missing","docs/art/reference/act_i/harbor_registry/grime_texture.png","","reference_board","docs/art/reference/act_i/harbor_registry","ReferenceBoard_harbor_registry","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"harbor_registry_generated_reference_ink_wash_edge_breakup","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","ink-wash edge breakup","pending_source","missing","docs/art/reference/act_i/harbor_registry/ink_wash_edge_breakup.png","","reference_board","docs/art/reference/act_i/harbor_registry","ReferenceBoard_harbor_registry","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"harbor_registry_generated_reference_palette_safe_mood_reference","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","palette-safe mood reference","pending_source","missing","docs/art/reference/act_i/harbor_registry/palette_safe_mood_reference.png","","reference_board","docs/art/reference/act_i/harbor_registry","ReferenceBoard_harbor_registry","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"harbor_registry_generated_reference_non_clickable_dressing_silhouettes","R05","harbor_registry","Harbor Registry","generated_reference","imagegen","non-clickable dressing silhouettes","pending_source","missing","docs/art/reference/act_i/harbor_registry/non_clickable_dressing_silhouettes.png","","reference_board","docs/art/reference/act_i/harbor_registry","ReferenceBoard_harbor_registry","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"harbor_registry_interactive_layer_kestrel_ledger","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Kestrel ledger","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/harbor_registry/kestrelledger.psd","game/rooms/harbor_registry/props/kestrelledger.png","paintover_runtime_layer","game/rooms/harbor_registry/props/kestrelledger.png","Interactive_harbor_registry","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"harbor_registry_interactive_layer_desk_lamp","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Desk lamp","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/harbor_registry/desklamp.psd","game/rooms/harbor_registry/props/desklamp.png","paintover_runtime_layer","game/rooms/harbor_registry/props/desklamp.png","Interactive_harbor_registry","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"harbor_registry_interactive_layer_registrar","R05","harbor_registry","Harbor Registry","interactive_layer","paintover","Registrar","pending_source","missing","art/src/backgrounds/act_i/interactive_layers/harbor_registry/registrar.psd","game/rooms/harbor_registry/props/registrar.png","paintover_runtime_layer","game/rooms/harbor_registry/props/registrar.png","Interactive_harbor_registry","separate clickable prop or wet/confession object layer","export_separate_png_and_preserve_godot_hotspot_metadata","verify alpha, bounds, hotspot center alignment, and role readability in Godot","export transparent runtime PNG, update import metadata only after hotspot map still validates"
"harbor_registry_navigation_silhouette_salt_market","R05","harbor_registry","Harbor Registry","navigation_silhouette","paintover","Salt Market","pending_source","missing","art/src/backgrounds/act_i/navigation_silhouettes/harbor_registry/tosaltmarket.psd","game/rooms/harbor_registry/background/harbor_registry_bg.png","paintover_navigation_readability","game/rooms/harbor_registry/background/harbor_registry_bg.png","Navigation_harbor_registry","exit readability and walk-band silhouette support","preserve_existing_exit_metadata","verify visible exit affordance, walk-band clarity, and no new unplanned route","paint into approved room pass or export exit visibility layer without moving coordinates"
"bone_chandler_meshy_source_model_bone_shelf_units","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","bone shelf units","pending_source","missing","art/src/backgrounds/act_i/source_models/bone_chandler/bone_shelf_units.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/bone_chandler.blend","SourceModels_bone_chandler","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"bone_chandler_meshy_source_model_trade_counter","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","trade counter","pending_source","missing","art/src/backgrounds/act_i/source_models/bone_chandler/trade_counter.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/bone_chandler.blend","SourceModels_bone_chandler","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"bone_chandler_meshy_source_model_chess_set_scale_prop","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","chess set scale prop","pending_source","missing","art/src/backgrounds/act_i/source_models/bone_chandler/chess_set_scale_prop.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/bone_chandler.blend","SourceModels_bone_chandler","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"bone_chandler_meshy_source_model_prosper_watch_display_block","R06","bone_chandler","The Bone Chandler","meshy_source_model","Meshy","Prosper watch display block","pending_source","missing","art/src/backgrounds/act_i/source_models/bone_chandler/prosper_watch_display_block.glb","","blender_helper_geometry","art/src/backgrounds/act_i/blockouts/bone_chandler.blend","SourceModels_bone_chandler","perspective and silhouette reference for paintover","never_import_directly_to_godot","open_room_blend_and_confirm_scale_silhouette_palette_before_paintover","append to blockout collection, render a greybox/reference pass, then repaint into final room art"
"bone_chandler_generated_reference_grime_texture","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","grime texture","pending_source","missing","docs/art/reference/act_i/bone_chandler/grime_texture.png","","reference_board","docs/art/reference/act_i/bone_chandler","ReferenceBoard_bone_chandler","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"bone_chandler_generated_reference_ink_wash_edge_breakup","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","ink-wash edge breakup","pending_source","missing","docs/art/reference/act_i/bone_chandler/ink_wash_edge_breakup.png","","reference_board","docs/art/reference/act_i/bone_chandler","ReferenceBoard_bone_chandler","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
"bone_chandler_generated_reference_palette_safe_mood_reference","R06","bone_chandler","The Bone Chandler","generated_reference","imagegen","palette-safe mood reference","pending_source","missing","docs/art/reference/act_i/bone_chandler/palette_safe_mood_reference.png","","reference_board","docs/art/reference/act_i/bone_chandler","ReferenceBoard_bone_chandler","texture, edge, lighting, or dressing reference only","never_import_directly_to_godot","compare_against_locked_palette_and_existing_hotspot_readability","extract usable ideas into paintover notes; do not trace layout or replace the room plate"
