"room_code","room_id","title","asset_kind","status","content_status","size_bytes","required_for","relative_path"
"R06","bone_chandler","The Bone Chandler","godot_import","present","present","20562","Godot room integration","game/rooms/bone_chandler/background/bone_chandler_bg.png"
"R06","bone_chandler","The Bone Chandler","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/bone_chandler.psd"
"R07","almshouse","The Almshouse","blend_blockout","present","present","107841","Blender greybox","art/src/backgrounds/act_i/almshouse.blend"
"R07","almshouse","The Almshouse","export_png","present","present","21722","Runtime background source","art/export/backgrounds/act_i/almshouse_bg.png"
"R07","almshouse","The Almshouse","godot_import","present","present","21722","Godot room integration","game/rooms/almshouse/background/almshouse_bg.png"
"R07","almshouse","The Almshouse","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/almshouse.psd"
"R08","fish_hall","The Fish Hall","blend_blockout","present","present","107439","Blender greybox","art/src/backgrounds/act_i/fish_hall.blend"
"R08","fish_hall","The Fish Hall","export_png","present","present","16674","Runtime background source","art/export/backgrounds/act_i/fish_hall_bg.png"
"R08","fish_hall","The Fish Hall","godot_import","present","present","16674","Godot room integration","game/rooms/fish_hall/background/fish_hall_bg.png"
"R08","fish_hall","The Fish Hall","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/fish_hall.psd"
"R09","church_of_the_drowned","Church of the Drowned","blend_blockout","present","present","108613","Blender greybox","art/src/backgrounds/act_i/church_of_the_drowned.blend"
"R09","church_of_the_drowned","Church of the Drowned","export_png","present","present","39592","Runtime background source","art/export/backgrounds/act_i/church_of_the_drowned_bg.png"
"R09","church_of_the_drowned","Church of the Drowned","godot_import","present","present","39592","Godot room integration","game/rooms/church_of_the_drowned/background/church_of_the_drowned_bg.png"
"R09","church_of_the_drowned","Church of the Drowned","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/church_of_the_drowned.psd"
"R10","grey_float","The Grey Float","blend_blockout","present","present","109197","Blender greybox","art/src/backgrounds/act_i/grey_float.blend"
"R10","grey_float","The Grey Float","export_png","present","present","28534","Runtime background source","art/export/backgrounds/act_i/grey_float_bg.png"
"R10","grey_float","The Grey Float","godot_import","present","present","28534","Godot room integration","game/rooms/grey_float/background/grey_float_bg.png"
"R10","grey_float","The Grey Float","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/grey_float.psd"
"R11","harbormaster_office","Harbormaster's Office","blend_blockout","present","present","107588","Blender greybox","art/src/backgrounds/act_i/harbormaster_office.blend"
"R11","harbormaster_office","Harbormaster's Office","export_png","present","present","21488","Runtime background source","art/export/backgrounds/act_i/harbormaster_office_bg.png"
"R11","harbormaster_office","Harbormaster's Office","godot_import","present","present","21488","Godot room integration","game/rooms/harbormaster_office/background/harbormaster_office_bg.png"
"R11","harbormaster_office","Harbormaster's Office","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/harbormaster_office.psd"
"R12","sabine_office","Sabine's Office","blend_blockout","present","present","106172","Blender greybox","art/src/backgrounds/act_i/sabine_office.blend"
"R12","sabine_office","Sabine's Office","export_png","present","present","18718","Runtime background source","art/export/backgrounds/act_i/sabine_office_bg.png"
"R12","sabine_office","Sabine's Office","godot_import","present","present","18718","Godot room integration","game/rooms/sabine_office/background/sabine_office_bg.png"
"R12","sabine_office","Sabine's Office","paintover_source","pending","missing","0","Final paintover","art/src/backgrounds/act_i/sabine_office.psd"
